,region,region_coord
194,"Valle de Uco, Argentina","(-33.591622, -69.025249)"
195,"Barbaresco, Italy","(44.7232618, 8.0835572)"
196,"Temecula Valley, USA","(33.4936391, -117.1483648)"
197,"Tasmania, Australia","(-41.4545196, 145.9706647)"
198,"Cariñena, Spain","(41.3370805, -1.2241497)"
199,"South Eastern Australia, Australia","(-33.8544884, 150.7642661)"
200,"Aglianico del Vulture, Italy","(40.929676, 15.6750242)"
201,"Green Valley, USA","(31.8542511, -110.9937019)"
202,"Vin Santo del Chianti Classico, Italy","(38.3446812, -122.3264735)"
203,"Trento, Italy","(46.0747793, 11.1217486)"
204,"Médoc, France","(44.556862, -0.038418)"
205,"Margaux, France","(45.042035, -0.677519)"
206,"Vino de la Tierra de Castilla, Spain","(37.7746773, -122.391388)"
207,"Rosso di Montalcino, Italy","(43.0596503, 11.4897959)"
208,"Nebbiolo d'Alba, Italy","(40.71083400000001, -74.00761109999999)"
209,"Spring Mountain District, USA","(38.5244649, -122.5512918)"
210,"Priorat, Spain","(41.23797829999999, 0.7913226999999999)"
211,"Bolgheri Superiore, Italy","(43.2336764, 10.6170139)"
212,"Los Carneros, USA","(34.4417708, -119.8487934)"
213,"Minervois, France","(43.3270136, 2.528199400000001)"
214,"Vista Flores, Argentina","(-33.6509809, -69.1558647)"
215,"Lugana, Italy","(40.7366181, -96.702698)"
216,"Primitivo di Manduria, Italy","(38.6629386, -90.6200094)"
217,"Bardolino Classico, Italy","(45.53482839999999, 10.7365305)"
218,"Amarone della Valpolicella Classico, Italy","(45.562197, 10.927739)"
219,"Piave, Italy","(46.1349922, 12.227916)"
220,"Dealu Mare, Romania","(45.1638854, 25.4474606)"
221,"Port, Portugal","(41.1579438, -8.629105299999999)"
222,"Gaillac, France","(43.9018159, 1.896506)"
223,"Sancerre, France","(47.329583, 2.839867)"
224,"Montravel, France","(44.859834, 0.052954)"
225,"Quincy, France","(47.13223499999999, 2.156712)"
226,"Eola-Amity Hills, USA","(45.1312282, -123.1637138)"
227,"Pouilly-Fumé, France","(47.2833676, 2.9564911)"
228,"Coonawarra, Australia","(-37.28746, 140.8553875)"
229,"Happy Canyon of Santa Barbara, USA","(34.4206415, -119.6994278)"
230,"Valdeorras, Spain","(42.3788608, -6.9638624)"
231,"Terre Siciliane, Italy","(47.203761, -121.988688)"
232,"Walla Walla Valley (OR), USA","(46.0650436, -118.3395156)"
233,"Niederösterreich, Austria","(48.10807699999999, 15.8049558)"
234,"Isonzo del Friuli, Italy","(45.8950312, 12.5991658)"
235,"Rías Baixas, Spain","(42.4270967, -8.814226399999999)"
236,"Delle Venezie, Italy","(45.92950219999999, 11.5621417)"
237,"Monbazillac, France","(44.793529, 0.492161)"
238,"Patrimonio, France","(42.706531, 9.369553999999999)"
239,"Darling, South Africa","(-33.375584, 18.3860652)"
240,"Costières de Nîmes, France","(43.774556, 4.3667907)"
241,"Yolo County, USA","(38.7646021, -121.9017954)"
242,"Cava, Spain","(25.7644748, -80.2583008)"
243,"Rosso di Montepulciano, Italy","(43.09045649999999, 11.7810898)"
244,"Gers, France","(43.6366479, 0.4502368)"
245,"Crémant de Jura, France","(46.718922, 5.52781)"
246,"Südoststeiermark, Austria","(46.8885229, 15.8936247)"
247,"Clare Valley, Australia","(-33.8335699, 138.61)"
248,"Corinth, Greece","(37.9386365, 22.9322383)"
249,"Halkidiki, Greece","(40.3694997, 23.287085)"
250,"Napa-Sonoma, USA","(38.291859, -122.4580356)"
251,"Bordeaux, France","(44.837789, -0.57918)"
252,"Montagne-Saint-Émilion, France","(44.93028530000001, -0.1301373)"
253,"Robertson, South Africa","(-33.8020653, 19.8875431)"
